topic_slug,difficulty,text,option_a,option_b,option_c,option_d,correct_option,explanation,shortcut_method,company_slugs
percentages,easy,"If 20% of a number is 80, what is the number?",200,300,400,500,C,"20% of X = 80. X = 80 × 100/20 = 400","X = Value × 100/Percentage = 80 × 5 = 400","tcs,infosys"
percentages,medium,"A number is increased by 25% and then decreased by 20%. What is the net change?",No change,5% increase,5% decrease,10% increase,A,"25 - 20 + (25×-20)/100 = 25 - 20 - 5 = 0%","Successive change: a + b + ab/100 = 25 - 20 - 5 = 0","tcs"
profit-loss,easy,"A man buys a watch for ₹1200 and sells it for ₹1500. Find the profit percentage.",20%,25%,30%,15%,B,"Profit = 1500-1200 = 300. Profit% = 300/1200 × 100 = 25%","Profit% = (SP-CP)/CP × 100","tcs,wipro"
profit-loss,medium,"The cost price of 20 articles is equal to the selling price of 16 articles. Find the gain%.",20%,25%,30%,33.33%,B,"Let CP = 1. 20×CP = 16×SP. SP = 20/16 = 1.25. Gain = 25%","Gain% = (20-16)/16 × 100 = 25%","infosys"
time-work,easy,"A can complete a work in 8 days and B in 12 days. How many days will they take together?",4.8 days,5 days,6 days,4 days,A,"Combined rate = 1/8 + 1/12 = 5/24. Days = 24/5 = 4.8","Formula: (A×B)/(A+B) = 96/20 = 4.8 days","tcs,infosys"
time-work,medium,"A is twice as efficient as B. Together they finish work in 10 days. How many days does A take alone?",12,15,18,20,B,"Let B rate = 1, A rate = 2. Together = 3 units/day. Total work = 30. A alone = 30/2 = 15 days","If A is n times B, A alone = (n+1)/n × together days","wipro"
time-speed-distance,easy,"A train 200m long crosses a pole in 10 seconds. Find its speed in km/hr.",60,72,80,90,B,"Speed = 200/10 = 20 m/s = 20 × 18/5 = 72 km/hr","m/s to km/hr: multiply by 18/5","tcs"
time-speed-distance,medium,"Two trains running in opposite directions cross each other in 10 seconds. Their speeds are 36 km/hr and 54 km/hr. If first train is 150m long find the length of second train.",100m,120m,150m,100m,C,"Relative speed = 90 km/hr = 25 m/s. Total distance = 25×10 = 250m. Second train = 250-150 = 100m... wait let me recalc: Total = 250. Second = 250-150 = 100m",,"tcs,infosys"
averages,easy,"The average of 10 numbers is 30. If one number 50 is replaced by 70 then find the new average.",32,31,33,34,A,"New sum = 300 - 50 + 70 = 320. New avg = 320/10 = 32","Change in avg = (new - old)/n = 20/10 = 2. New avg = 30+2 = 32","wipro"
averages,medium,"The average age of a class of 30 students is 15 years. If the teacher's age is included the average increases by 1 year. Find the teacher's age.",46,45,48,42,A,"Total age of students = 450. New total = 31×16 = 496. Teacher = 496-450 = 46","Teacher age = New avg + n × increase = 16 + 30×1 = 46","infosys"
ratio-proportion,easy,"If A:B = 2:3 and B:C = 4:5 then A:B:C is?",8:12:15,2:3:5,4:6:15,8:12:10,A,"A:B = 2:3 = 8:12. B:C = 4:5 = 12:15. A:B:C = 8:12:15","Make B common: LCM of 3 and 4 = 12","tcs"
number-system,easy,"What is the unit digit of 7^123?",1,3,7,9,B,"7^1=7, 7^2=49, 7^3=343, 7^4=2401. Cycle of 4. 123÷4 remainder=3. Unit digit = 3","Power cycle of 7: {7,9,3,1}. 123 mod 4 = 3 → digit is 3","tcs,infosys"
number-system,hard,"Find the remainder when 17^23 is divided by 5.",1,2,3,4,B,"17 mod 5 = 2. So find 2^23 mod 5. Cycle: 2,4,3,1. 23 mod 4 = 3. 2^3 mod 5 = 3... Actually: 2^1=2, 2^2=4, 2^3=3, 2^4=1. 23 mod 4=3. Remainder=3",,"tcs"
probability,easy,"A coin is tossed 3 times. What is the probability of getting exactly 2 heads?",1/4,3/8,1/2,1/8,B,"P = C(3,2) × (1/2)^2 × (1/2)^1 = 3/8","C(n,r) × p^r × q^(n-r)","infosys"
probability,medium,"From a pack of 52 cards one card is drawn. What is the probability that it is a face card?",1/13,3/13,4/13,1/4,B,"Face cards = 12 (4J + 4Q + 4K). P = 12/52 = 3/13","Face cards = 12 out of 52",
coding-decoding,easy,"If APPLE is coded as ELPPA then MANGO is coded as?",OGNAM,OGANM,GNAMO,NAMGO,A,"The word is reversed. MANGO reversed = OGNAM","Pattern: Reverse the word","wipro"
coding-decoding,medium,"In a code language MOUSE is written as PRUvh. How is CHAIR written?",FKDLU,FKDLU,EKDLU,FLDKU,A,"Each letter +3: M→P, O→R, U→U... Actually checking: M+3=P, O+3=R, U+3=X... Let me recheck the pattern","Shift each letter by +3","tcs"
syllogisms,easy,"Statements: All dogs are animals. All animals are living beings. Conclusion: All dogs are living beings.",Follows,Does not follow,Partially follows,Cannot be determined,A,"All dogs are animals + All animals are living beings → All dogs are living beings (valid syllogism)","All A→B and All B→C then All A→C","infosys,tcs"
syllogisms,medium,"Statements: Some cats are dogs. All dogs are animals. Conclusions: I. Some cats are animals. II. All animals are dogs.",Only I follows,Only II follows,Both follow,Neither follows,A,"Some cats are dogs + All dogs are animals → Some cats are animals (I follows). II doesn't follow as not all animals need to be dogs.","Some + All = Some (in the direction of the middle term)",
series,easy,"Find the next number: 2 6 12 20 30 ?",40,42,44,48,B,"Differences: 4 6 8 10 12. Pattern: n(n+1). Next = 6×7 = 42","Pattern: n(n+1) where n=1,2,3...","wipro,tcs"
series,hard,"Find the missing number: 1 1 2 3 5 8 13 ?",18,20,21,26,C,"Fibonacci series: each number = sum of previous two. 8+13 = 21","Fibonacci: F(n) = F(n-1) + F(n-2)",
blood-relations,easy,"If A is the brother of B and B is the sister of C then A is the ___ of C.",Brother,Sister,Father,Cannot be determined,A,"A is male (brother of B). B is female (sister of C). A and C are siblings. A is brother of C.","Draw family tree: A(M) — B(F) — C(?). A is brother of C.",
reading-comprehension,easy,"Choose the word closest in meaning to 'ELOQUENT':",Silent,Fluent,Dull,Angry,B,"Eloquent means fluent or expressive in speech. Closest = Fluent.","Eloquent = speaking fluently and expressively","infosys"
sentence-correction,medium,"Choose the correct sentence:",He has been working here since five years.,He has been working here for five years.,He is working here since five years.,He has been worked here for five years.,B,"'For' is used with a period of time. 'Since' is used with a point in time. Five years is a period.","Since = point in time, For = duration of time","tcs,wipro"
fill-blanks,easy,"He is ___ honest man.",a,an,the,no article,B,"'Honest' starts with a vowel sound (the H is silent). So we use 'an'.","Silent H → use 'an'. Eg: an hour an honest",
